"pmid","journalTitle","citedByCount"
"17087821","BMC Bioinformatics",268
"23911319","Cell",266
"27501248","Nature",265
"22586093","Proc Natl Acad Sci U S A",264
"25036635","Cell",263
"18823568","BMC Bioinformatics",261
"23430699","Cancer Discov",261
"20940738","Nat Rev Genet",261
"22096230","Nucleic Acids Res",260
"21734647","Mol Syst Biol",260
"26780511","Nat Neurosci",259
"20305017","Genome Res",257
"23384594","Pharmacol Ther",255
"22094046","BMC Plant Biol",255
"21602788","EMBO J",255
"23791177","Cell",253
"20926419","Bioinformatics",251
"19095804","Genes Dev",248
"23541540","Lancet",248
"22902405","Cell Rep",244
"18828675","PLoS Biol",243
"19411596","Genome Res",243
"22589709","PLoS Comput Biol",241
"23444143","Nucleic Acids Res",241
"25897122","Nucleic Acids Res",240
"16606699","Genome Res",240
"21071422","Nucleic Acids Res",239
"18722006","Cell",239
"22606315","PLoS One",237
"24084849","Sci Rep",237
"19955237","Brief Bioinform",237
"28112728","Nature",235
"20362542","Cell Stem Cell",235
"25521941","BMC Syst Biol",232
"25058159","PLoS Comput Biol",232
"25965575","Cancer Cell",232
"28810144","Cancer Cell",231
"19286671","Hum Mol Genet",231
"16686963","Genome Biol",227
"25412662","Cell Res",225
"21963094","Cell",224
"22842922","Nat Cell Biol",222
"27863249","Cell",220
"23193272","Nucleic Acids Res",220
"22665533","J Clin Oncol",219
"26479676","J Chem Inf Model",218
"27602518","Nature",217
"21339330","J Cell Biol",214
"19765810","Cell",212
"21555454","Mol Cell Biol",212
"21445301","PLoS One",211
"28710774","Protein Sci",209
"25415230","Nat Commun",207
"24060131","Methods Enzymol",205
"23396282","Nat Methods",203
"20067622","Genome Biol",202
"20439436","Genome Res",202
"18586718","Bioinformatics",201
"25877637","Database (Oxford)",199
"18766178","Mol Syst Biol",199
"26921406","Nucleic Acids Res",199
"21430787","ISME J",198
"19729372","Bioinformatics",196
"24045689","Nat Rev Genet",196
"19321003","BMC Syst Biol",195
"18208606","Genome Biol",195
"26824392","Elife",194
"21840481","Cancer Cell",194
"18981049","Nucleic Acids Res",193
"29059683","Nature",193
"22568821","BMC Bioinformatics",192
"26843508","Gut",191
"20169195","PLoS One",191
"20046865","Metabolomics",191
"21253009","PLoS One",190
"19325143","Arterioscler Thromb Vasc Biol",190
"22422314","Nat Protoc",189
"25003965","ISME J",189
"25215495","Cell",189
"25176396","BMC Bioinformatics",187
"23159438","Immunity",187
"19930720","BMC Genomics",185
"21849676","J Immunol",185
"22241860","Am J Physiol Gastrointest Liver Physiol",185
"23161675","Nucleic Acids Res",183
"18817533","BMC Bioinformatics",183
"23794635","Nucleic Acids Res",182
"16519817","BMC Bioinformatics",181
"21940902","Am J Physiol Gastrointest Liver Physiol",181
"16762047","J Biol",179
"18282095","PLoS Pathog",179
"27220822","BMC Microbiol",178
"23405074","PLoS One",178
"22431615","Proc Natl Acad Sci U S A",178
"22302827","J Neurosci",178
"19234470","Nat Genet",178
"25326323","Nucleic Acids Res",177
"20542247","Cell Host Microbe",175
"23949796","J Am Soc Nephrol",174
"19363474","Nature",174
"25003194","J Clin Invest",173
"15520287","Genome Res",173
"23093600","Nucleic Acids Res",172
"19190775","PLoS One",171
"27618652","Nat Med",171
"20823844","Mol Syst Biol",171
"22646978","BMC Bioinformatics",171
"20706207","Mol Syst Biol",170
"25451770","Biosystems",168
"22101768","Nat Med",167
"21423668","PLoS Genet",167
"17981841","Nucleic Acids Res",166
"19402753","PLoS Biol",166
"21399614","EMBO J",166
"21329885","Mol Cell",166
"21383057","J Exp Med",166
"22070249","BMC Bioinformatics",165
"19156129","Mol Syst Biol",165
"19369195","Mol Cell Proteomics",165
"17360592","Proc Natl Acad Sci U S A",164
"20126538","PLoS One",164
"23555215","PLoS Comput Biol",164
"20662890","Environ Microbiol",163
"25199793","Curr Protoc Bioinformatics",162
"26481357","Nucleic Acids Res",162
"24339831","Front Genet",161
"24002784","Genome Res",161
"17663798","BMC Genomics",161
"18344319","Proc Natl Acad Sci U S A",161
"25262415","Nat Chem Biol",160
"21983960","Nat Methods",159
"21903422","Immunity",159
"22864622","Cell Mol Life Sci",159
"25900361","Biochim Biophys Acta",157
"19936050","PLoS Genet",157
"20647238","Genome Res",157
"28609654","Cancer Cell",156
"25517485","Genome Biol",155
"28263302","Nat Neurosci",155
"27484176","Sci Rep",154
"19218430","Proc Natl Acad Sci U S A",154
"24586144","PLoS Pathog",154
"25117714","Cancer Cell",154
"20736229","Genome Res",154
"20140234","PLoS Comput Biol",154
"22673903","Nat Commun",151
"17925023","BMC Biol",151
"17217541","Genome Biol",151
"27258521","Medicine (Baltimore)",150
"22824796","Oncogene",150
"25305756","Nat Genet",150
"19953085","Mol Syst Biol",150
"25964301","Nucleic Acids Res",149
"17849003","PLoS One",149
"22135418","Bioinformatics",148
"21059685","Nucleic Acids Res",147
"25853550","Genome Biol",147
"24425782","Mol Biol Evol",147
"24025162","J Nat Prod",146
"20513647","Nucleic Acids Res",146
"23565181","PLoS One",146
"22067443","Nucleic Acids Res",146
"16423281","BMC Bioinformatics",145
"22348130","PLoS One",145
"18986213","PLoS Biol",145
"21036921","Genome Res",145
"19245720","BMC Bioinformatics",144
"26366711","Nat Med",144
"15215356","Nucleic Acids Res",144
"24813612","Cell",144
"25807483","Nature",144
"20929877","Nucleic Acids Res",144
"28143587","Microbiome",143
"26638075","Cell",142
"22244672","Trends Ecol Evol",142
"17588266","BMC Bioinformatics",142
"19307239","Bioinformatics",141
"18218781","Proc Natl Acad Sci U S A",140
"28991892","Nat Methods",139
"25437566","Cell Rep",139
"24116019","PLoS One",139
"22480918","Trends Genet",139
"19081792","PLoS One",138
"18794350","Genes Dev",138
"17893699","Mol Syst Biol",138
"21811232","Mol Syst Biol",138
"21045073","Bioinformatics",138
"26192745","Nat Neurosci",137
"20589078","PLoS Comput Biol",136
"20484371","Nucleic Acids Res",135
"18846204","PLoS Comput Biol",135
"24391516","PLoS Genet",134
"25561528","Proc Natl Acad Sci U S A",134
"26515465","Nat Commun",134
"23719154","ISME J",133
"23795294","Elife",133
"24084870","Sci Rep",132
"23290915","Mol Cell",132
"19455133","Mol Syst Biol",132
"22102825","PLoS Genet",132
"21194355","Antioxid Redox Signal",132
"20604711","Annu Rev Cell Dev Biol",131
"23064439","Nat Immunol",131
"29018189","Nat Commun",131
"24719451","Mol Cell Proteomics",131
"25805735","mBio",131
"24317040","Nat Immunol",130
"28810145","Cancer Cell",129
"25883361","Science",128
"20164059","Mol Cell Proteomics",128
"26782178","Stem Cells",127
"27595233","Nat Immunol",127
"20163717","BMC Bioinformatics",127
"19933762","Nucleic Acids Res",126
"23752268","Mol Syst Biol",126
"19000842","Dev Cell",126
"21378055","Appl Environ Microbiol",126
"24176112","Genome Biol",126
"18485879","Cell",126
"26415722","Bioinformatics",125
"28368401","Oncogene",125
"25350160","ISME J",125
"17605818","BMC Bioinformatics",125
"22138692","Nat Genet",125
"23904270","Mol Biol Cell",125
"24035353","Cell Stem Cell",124
"22216007","PLoS Pathog",124
"20823849","Mol Syst Biol",124
"25798438","Front Bioeng Biotechnol",124
"29100075","Cell",123
"21881616","ISME J",123
"22865919","Mol Cell Proteomics",123
"17386095","Genome Biol",123
"28106076","Cell Res",122
"25313861","PLoS Biol",122
"21775417","Development",121
"24861621","Nucleic Acids Res",120
"22743224","Bioinformatics",119
"18277385","Mol Syst Biol",119
"21527005","BioData Min",119
"26125594","Nat Methods",118
"17940529","Mol Syst Biol",118
"20403172","BMC Syst Biol",118
"26479319","Nat Cell Biol",117
"22270183","Cell Res",117
"29328911","Cell",115
"24559495","BMC Genomics",115
"27040498","Cell",115
"26694030","Nat Commun",115
"25278503","Science",115
"22405071","Cell Metab",115
"25706687","PLoS Comput Biol",114
"25069841","EMBO Mol Med",114
"20007769","Proc Natl Acad Sci U S A",114
"21324878","Genome Res",114
"23963177","mBio",113
"22057237","Nat Genet",113
"28625553","Mol Cell",112
"27018655","Nature",112
"16420670","Genome Biol",112
"21179025","Mol Syst Biol",112
"22725956","Immunol Rev",112
"15520799","EMBO Rep",112
"21593420","Proc Natl Acad Sci U S A",111
"19536198","Mol Syst Biol",111
"27437576","Nature",110
"26863568","Oncotarget",110
"26293300","Development",109
"22305568","Cell Stem Cell",109
"21325135","Genes Dev",109
"20668243","Proc Natl Acad Sci U S A",109
"22276136","PLoS One",109
"25825778","Proc Natl Acad Sci U S A",108
"23160197","J Clin Invest",108
"16749936","BMC Bioinformatics",108
"25464832","Cell Host Microbe",108
"23224554","Science",108
"22072964","PLoS Pathog",108
"21529718","Cell",108
"21464308","Proc Natl Acad Sci U S A",108
"23209444","PLoS Genet",108
"28211215","Mol Oncol",107
"23798442","Proc Natl Acad Sci U S A",107
"15028117","BMC Bioinformatics",107
"25038099","Appl Environ Microbiol",107
"21427719","Nat Commun",107
"24725412","Cell",107
"20392818","Nucleic Acids Res",107
"19841731","PLoS Biol",107
"26406376","Cell",106
"26476450","Nucleic Acids Res",106
"21036869","Nucleic Acids Res",106
"27861590","PLoS Biol",106
"17989251","Genome Res",106
"24809982","Oncotarget",105
"18988626","Nucleic Acids Res",105
"17571924","PLoS Genet",105
"23272792","Expert Rev Clin Pharmacol",104
"25363770","Nature",104
"26555056","Dev Cell",104
"25294932","Proc Natl Acad Sci U S A",104
"19412532","PLoS Comput Biol",104
"22900683","BMC Genomics",103
"19730696","PLoS Pathog",103
"17720984","Bioinformatics",103
"20944583","Nat Biotechnol",103
"15575969","Genome Biol",103
"24348267","PLoS Genet",103
"19063729","BMC Genomics",103
"23574465","Periodontol 2000",103
"28966033","Cancer Cell",102
"24194605","Nucleic Acids Res",102
"27899584","Nucleic Acids Res",101
"29191878","Science",101
"21270172","Genome Res",101
"20236529","Genome Biol",101
"18414489","Mol Syst Biol",101
"18369420","PLoS Comput Biol",101
"27105848","Nucleic Acids Res",100
"22139925","Nucleic Acids Res",100
"26237576","Cell Cycle",100
"23272041","PLoS One",100
"28566324","J Cell Biol",100
"23109432","Mol Cell Biol",100
"20889718","Genes Dev",100
"22244270","BMC Genomics",100
"29136241","Nucleic Acids Res",99
"20650822","Hum Genomics",99
"19345069","J Autoimmun",99
"22637570","Genome Res",99
"28319085","Nat Biotechnol",99
"21988832","Mol Syst Biol",99
"23300411","PLoS Comput Biol",99
"24610234","Environ Health Perspect",99
"19188147","Clin Cancer Res",99
"19837718","Bioinformatics",98
"24613305","Curr Biol",98
"26183581","J Transl Med",98
"18503085","Nucleic Acids Res",98
"20369013","PLoS Comput Biol",98
"21217125","Plant Cell Physiol",97
"28648661","Cell",97
"23594911","Nat Rev Genet",97
"15980487","Nucleic Acids Res",97
"20156358","BMC Syst Biol",97
"28965759","Cell",96
"20087442","Int J Biol Sci",96
"18000013","DNA Res",96
"26172345","J Anim Ecol",96
"24271399","Nucleic Acids Res",95
"20548102","J Cell Biol",95
"25242146","Mol Cell",95
"20194642","J Cell Biol",95
"27556950","Nature",95
"19120490","Immunol Rev",95
"21035178","Cell",95
"17254303","BMC Bioinformatics",95
"23179753","Arch Toxicol",95
"16569235","BMC Bioinformatics",94
"20029370","Mol Syst Biol",94
"19549727","Genome Res",94
"23549483","Mol Syst Biol",94
"19246318","Genome Res",94
"17134480","Genome Biol",94
"22325189","Lancet",93
"20011507","PLoS Comput Biol",93
"26511511","Sci Transl Med",92
"24646187","BMC Bioinformatics",92
"17309895","Bioinformatics",92
"22786679","Sci Transl Med",92
"18427117","Proc Natl Acad Sci U S A",92
"26576951","BMC Genomics",92
"26898779","Neuron",92
"22912562","PLoS Biol",92
"19465394","Nucleic Acids Res",92
"23980183","Proc Natl Acad Sci U S A",92
"19536200","Mol Syst Biol",92
"26618343","Nat Genet",91
"18812364","Bioinformatics",91
"20484379","Nucleic Acids Res",91
"23082199","PLoS One",91
"23842650","ISME J",91
"15140832","Genome Res",91
"24213504","Cancers (Basel)",91
"25118238","mBio",91
"27572443","Nat Microbiol",91
"26691752","Cell Res",91
"17897480","J Biol",91
"19712483","BMC Genomics",91
"28077403","Brief Bioinform",90
"28670325","Front Genet",90
"24391931","PLoS One",90
"22523386","J Immunol",90
"24320616","Genes Brain Behav",90
"24586960","PLoS One",90
"17270037","BMC Bioinformatics",90
"20940177","Database (Oxford)",90
"19638617","Sci Signal",90
"22232672","Proc Natl Acad Sci U S A",90
"17634102","BMC Genomics",90
"23487761","Proc Natl Acad Sci U S A",89
"24450771","Microbiome",89
"22438836","Curr Bioinform",89
"17916244","BMC Bioinformatics",89
"23638153","PLoS One",89
"24914135","Blood",89
"23793029","Nat Genet",89
"20941329","mBio",89
"29275859","Cell",88
"25378250","Genome Res",88
"19229334","PLoS Pathog",88
"26648521","Nat Commun",88
"24714079","Mol Biol Evol",88
"26000486","Cell",88
"21071407","Nucleic Acids Res",88
"22205936","PLoS One",88
"20179208","Cancer Res",88
"24830552","Chem Rev",88
"29373831","Cell",87
"25605861","J Clin Oncol",87
"28457610","Cell",87
"25100740","Sci Transl Med",87
"26264599","J Transl Med",87
"19845953","BMC Bioinformatics",87
"22364233","Genome Med",87
"22272232","PLoS One",87
"21952135","Mol Syst Biol",87
"19194489","PLoS One",87
"21999478","Biochemistry",87
"19509179","Clin Cancer Res",87
"20861032","Bioinformatics",86
"23731539","Am J Hum Genet",86
"24741114","Mol Cell Proteomics",86
"25732063","Cell Host Microbe",86
"26425705","EBioMedicine",86
"27090946","Nat Commun",86
"18421374","PLoS Comput Biol",86
"19054759","Mol Cell Proteomics",86
"17931913","Neurobiol Learn Mem",86
"24339748","PLoS Biol",86
"19597788","Methods Mol Biol",85
"19638971","Mol Syst Biol",85
"24591639","Proc Natl Acad Sci U S A",85
"24484739","Placenta",85
"20739307","Bioinformatics",85
"22705808","Toxicol Sci",85
"18775941","J Exp Biol",85
"24176774","Mol Cell Proteomics",84
"25340524","PLoS Comput Biol",84
"27161318","Mol Cell Biol",84
"19380743","Proc Natl Acad Sci U S A",84
"22701672","PLoS One",84
"23015706","J Virol",84
"19346491","Proc Natl Acad Sci U S A",84
"20920310","BMC Genomics",84
"22960213","Genetics",83
"23512661","Genes Dev",83
"23275889","G3 (Bethesda)",83
"21408619","PLoS Pathog",83
"22586326","Mol Cell Proteomics",82
"27572644","Nat Microbiol",82
"22412387","PLoS Genet",82
"25288503","J Exp Clin Cancer Res",82
"18077332","Proc Natl Acad Sci U S A",82
"24216752","Nat Med",82
"16890548","Am J Obstet Gynecol",82
"19348669","BMC Genomics",82
"22219721","PLoS Comput Biol",81
"18261202","BMC Syst Biol",81
"26283796","J Cell Biol",81
"25918553","Genome Med",81
"25544563","Mol Cell",81
"22869720","Proc Natl Acad Sci U S A",81
"27172044","Nature",81
"19136944","Nature",81
"22022502","PLoS One",80
"20139469","Bioinformatics",80
"21454685","J Biol Chem",80
"23242164","Nat Biotechnol",80
"20098690","PLoS One",80
"24013503","Genes Dev",80
"21324131","Genome Biol",80
"23153041","Genome Biol",80
"26200428","Elife",80
"15833125","Genome Biol",80
"25705365","Mol Autism",79
"24621249","BMC Genomics",79
"23331499","BMC Syst Biol",79
"23228031","Genome Biol",79
"26454094","Brief Bioinform",79
"26066708","Sci Rep",79
"17908996","Cancer Res",79
"24788655","PLoS One",79
"23650531","PLoS One",79
"25281560","J Proteomics",79
"25189528","Cancer Res",79
"24451203","ISME J",79
"21390271","PLoS Comput Biol",79
"25740547","Sci Rep",79
"22391115","J Allergy Clin Immunol",79
"24581456","Genome Biol",79
"21987723","Cancer Res",79
"22912587","PLoS Genet",79
"21666801","PLoS Biol",79
"20531401","Mol Syst Biol",79
"19690564","Mol Syst Biol",79
"31066453","Nucleic Acids Res",78
"28193898","Proc Natl Acad Sci U S A",78
"26119816","Am J Hum Genet",78
"25820757","Hepatology",78
"25027775","Nat Commun",78
"20856902","PLoS Biol",78
"22591066","BMC Bioinformatics",77
"25414324","Nucleic Acids Res",77
"20047655","BMC Bioinformatics",77
"21558322","Nucleic Acids Res",77
"24467841","BMC Genomics",77
"26112054","BMC Med Genomics",77
"26261339","Proc Natl Acad Sci U S A",77
"23768067","Biol Direct",77
"19098921","Nat Methods",77
"19401675","Mol Syst Biol",77
"22354987","Mol Cell Biol",77
"22008187","BMC Genomics",77
"26766440","Dev Cell",76
"28869591","Nat Genet",76
"17172291","Plant Physiol",76
"20858866","Sci Signal",76
"24339880","PLoS One",76
"25006128","Blood",76
"28601559","Cell Syst",75
"25053844","Nucleic Acids Res",75
"24132077","ISME J",75
"22761806","PLoS One",75
"24027245","Proc Natl Acad Sci U S A",75
"28235764","Cancer Res",75
"26118995","Cell Host Microbe",75
"24995464","Genome Biol",75
"17693572","Genome Res",75
"18687109","BMC Syst Biol",75
"21123224","Bioinformatics",74
"28165011","Nat Commun",74
"27782139","Nat Microbiol",74
"23383675","Genome Biol",74
"24196323","ISME J",74
"20889676","Am J Physiol Lung Cell Mol Physiol",74
"23151505","Proc Natl Acad Sci U S A",74
"22080565","Nucleic Acids Res",74
"17592649","Genome Biol",74
"26404698","Nat Commun",74
"21734642","Mol Syst Biol",74
"20876714","Diabetes",74
"27924025","Nucleic Acids Res",73
"23567935","J Med Internet Res",73
"20444866","Nucleic Acids Res",73
"28489817","Nature",73
"21715382","Nucleic Acids Res",73
"27525369","Nat Immunol",73
"19723314","BMC Bioinformatics",73
"18437200","PLoS Genet",73
"29249361","Cell",73
"24296474","Nat Methods",73
"21742771","Cancer Res",73
"18390663","J Bacteriol",73
"24874089","PLoS Pathog",73
"21554708","BMC Genomics",73
"31114916","Nucleic Acids Res",72
"27573827","Proc Natl Acad Sci U S A",72
"23948298","Cancer Cell",72
"27993818","Cancer Res",72
"23292653","Nat Chem Biol",72
"23595422","Ann Neurol",72
"22139911","Nucleic Acids Res",72
"19050705","Br J Cancer",72
"16301536","Proc Natl Acad Sci U S A",72
"23759170","Genome Biol",72
"23607916","Mol Oncol",72
"16630347","BMC Bioinformatics",72
"26618866","Nature",72
"20530529","Nucleic Acids Res",72
"22665442","Genome Res",72
"22362744","Nucleic Acids Res",72
"25533204","Alzheimers Dement",72
"23300432","PLoS Comput Biol",72
"23140568","BMC Syst Biol",71
"21695124","PLoS One",71
"22879955","PLoS One",71
"23188833","J Biol Chem",71
"24334635","Aging (Albany NY)",71
"23474466","Nat Methods",71
"23993098","Cell",71
"25371507","J Exp Bot",71
"19506040","J Cell Biol",71
"22829753","PLoS Comput Biol",71
"19798432","PLoS Pathog",71
"26594663","Cell Syst",70
"21931791","PLoS One",70
"26748513","Am J Hum Genet",70
"27074572","Oncotarget",70
"27092161","Front Plant Sci",70
"25158685","Proteomics",70
"22730287","Nucleic Acids Res",70
"23267063","Proc Natl Acad Sci U S A",70
"27173435","Nat Commun",70
"23132910","Genome Res",70
"25228990","Cancer Metab",70
"21697961","ISME J",70
"19936069","PLoS Genet",70
"19953087","Mol Syst Biol",70
"25254104","F1000Res",69
"25648531","Mol Cell Proteomics",69
"23079107","BMC Syst Biol",69
"24448569","Nat Immunol",69
"22292714","BMC Bioinformatics",69
"22669911","Nucleic Acids Res",69
"24889152","Sci Rep",69
"21629653","PLoS One",69
"24279809","Rice (N Y)",69
"27332732","Immunity",69
"27533299","Nat Genet",69
"19331680","BMC Bioinformatics",69
"22615383","Proc Natl Acad Sci U S A",69
"23847199","Proc Natl Acad Sci U S A",69
"27348297","Nat Genet",69
"30388455","Cell",69
"24401855","ISME J",69
"29892016","Nat Genet",69
"20011590","PLoS One",69
"19424432","PLoS Genet",69
"17507646","Mol Biol Cell",69
"22844245","PLoS Genet",69
"27153568","Bioinformatics",68
"27610567","Cell",68
"21558324","Nucleic Acids Res",68
"21045054","Nucleic Acids Res",68
"25474468","PLoS Comput Biol",68
"23054610","Carcinogenesis",68
"26058080","Cancer Cell",68
"16267557","Nature",68
"21242976","Oncogene",68
"22884370","Cell Rep",68
"27465405","J Transl Med",67
"27602409","mSphere",67
"28938566","Oncotarget",67
"27053774","Sci Transl Med",67
"27487139","Oncotarget",67
"24917678","J Biol Chem",67
"21963156","Biomaterials",67
"23597482","Dev Cell",67
"27468688","Cell Death Dis",67
"21694767","PLoS One",67
"19581287","Mol Cell Biol",67
"24089029","Sci Rep",67
"24815183","Nat Commun",67
"26437365","Nat Med",67
"23105110","J Biol Chem",67
"22962593","PLoS One",67
"22081913","Aging Cell",67
"29069413","Nucleic Acids Res",66
"24586201","PLoS Genet",66
"22732065","BMC Genomics",66
"24963047","Clin Cancer Res",66
"25969736","Microbiome",66
"27618217","Cell Stem Cell",66
"23658749","PLoS One",66
"18414401","Lab Invest",66
"29035367","Nat Med",66
"21737788","Circ Res",66
"26436690","Nat Cell Biol",66
"20451384","Curr Biol",66
"25892236","Cell Rep",66
"24169640","Transl Psychiatry",66
"25805135","Dev Cell",66
"22139914","Nucleic Acids Res",66
"26885861","Immunity",66
"26173063","Nat Commun",66
"19946617","Mol Plant",66
"23153100","BMC Genomics",66
"21226959","BMC Plant Biol",66
"19926752","Genome Res",66
"23611293","Chem Res Toxicol",66
"16683025","PLoS Genet",66
"27666543","Nat Commun",65
"28605766","Database (Oxford)",65
"20946599","BMC Bioinformatics",65
"25180227","Mol Cell Proteomics",65
"17634282","Mol Biol Cell",65
"20802204","Brain",65
"26748517","Am J Hum Genet",65
"19859549","PLoS One",65
"17584796","Nucleic Acids Res",65
"19309513","BMC Syst Biol",65
"24651478","PLoS Comput Biol",65
"23452847","Cell",65
"19851441","PLoS Comput Biol",65
"24936144","Int J Med Sci",65
"26901648","Nat Methods",65
"19797678","Genome Res",65
"17284613","Proc Natl Acad Sci U S A",65
"20976054","PLoS One",65
"15608068","Proc Natl Acad Sci U S A",65
"21986581","Ageing Res Rev",65
"23148523","BioData Min",64
"24498199","PLoS One",64
"21293178","Autophagy",64
"25035395","Cancer Res",64
"25479313","Curr Opin Allergy Clin Immunol",64
"28244986","Nat Chem Biol",64
"20404152","Proc Natl Acad Sci U S A",64
"26061969","Sci Rep",64
"21124901","PLoS One",64
"22719260","PLoS Genet",64
"23972083","BMC Genomics",64
"20858269","Mol Cancer",64
"22722842","Nature",64
"16520460","Genome Res",64
"22723521","J Immunol",64
"22547818","Proc Natl Acad Sci U S A",64
"21816034","BMC Bioinformatics",64
"26170234","Nucleic Acids Res",63
"28461474","Proc Natl Acad Sci U S A",63
"28953873","Nature",63
"26313928","PLoS Comput Biol",63
"23077249","Proc Natl Acad Sci U S A",63
"22618880","Nucleic Acids Res",63
"23575160","BMC Genomics",63
"23829399","BMC Genomics",63
"27706135","Nature",63
"19563678","BMC Genomics",63
"22318606","Nature",63
"19556340","Mol Endocrinol",63
"14993204","Genome Res",63
"20386602","PLoS Negl Trop Dis",63
"30348985","Nat Commun",62
"23300410","PLoS Comput Biol",62
"20027228","PLoS One",62
"26539879","Anal Chem",62
"26489866","mBio",62
"27876802","Nat Commun",62
"30022168","Nature",62
"20460255","Mol Cell Proteomics",62
"22184282","Aging (Albany NY)",62
"23712012","Mol Syst Biol",62
"15837808","Genome Res",62
"23446831","ISME J",62
"28135077","Chem Rev",62
"24505114","Mol Cell Proteomics",62
"26797145","Science",62
"18463131","Brief Bioinform",62
"22822053","J Biol Chem",62
"25979346","Methods",61
"19649250","PLoS One",61
"18840285","BMC Genomics",61
"23889694","Environ Sci Technol",61
"28617241","Elife",61
"23418415","PLoS One",61
"17130145","Nucleic Acids Res",61
"22322096","Mol Cell Proteomics",61
"23644510","Epigenetics",61
"22080467","Bioinformatics",61
"17513831","Genome Res",61
"19429919","Mol Cell Proteomics",61
"16729061","Mol Syst Biol",61
"19721087","Microbiol Mol Biol Rev",61
"25398903","Nucleic Acids Res",60
"19147664","Bioinformatics",60
"22962591","PLoS One",60
"22179068","Nat Chem Biol",60
"23716641","Nucleic Acids Res",60
"19842715","Biochemistry",60
"29795809","mSystems",60
"25030905","Nucleic Acids Res",60
"20170493","BMC Bioinformatics",60
"27680702","Nature",60
"20388209","Proteome Sci",60
"22623972","PLoS One",60
"20525385","BMC Genomics",60
"19487574","Genes Dev",60
"15781693","Genetics",60
"27056547","Mol Cancer",59
"29500179","J Exp Med",59
"26800234","ISME J",59
"18978014","Nucleic Acids Res",59
"20852260","Nucleic Acids Res",59
"28553940","Nat Biotechnol",59
"24279768","BMC Res Notes",59
"27672114","G3 (Bethesda)",59
"17437023","Mol Syst Biol",59
"23661758","Science",59
"26057845","ISME J",59
"23217712","Cell",59
